Data,Hora,Objeto,Confiança
2025-03-07,17:56:16.945239,chair,0.84
2025-03-07,17:56:16.945239,person,0.92
2025-03-07,17:56:16.945239,person,0.89
2025-03-07,17:56:16.945239,chair,0.89
2025-03-07,17:56:16.945239,chair,0.89
2025-03-07,17:56:16.945239,chair,0.86
2025-03-07,17:56:16.945239,person,0.50
2025-03-07,17:56:16.945239,person,0.27
2025-03-07,17:56:16.945239,bottle,0.75
2025-03-07,17:56:16.945239,bottle,0.32
2025-03-07,17:56:16.945239,bottle,0.38
2025-03-07,17:56:16.945239,chair,0.68
2025-03-07,17:56:16.945239,chair,0.69
2025-03-07,17:56:16.945239,chair,0.68
2025-03-07,17:56:16.945239,remote,0.32
2025-03-07,17:56:16.945239,person,0.91
2025-03-07,17:56:16.945239,person,0.91
2025-03-07,17:56:16.945239,person,0.75
2025-03-07,17:56:16.945239,person,0.91
2025-03-07,17:56:16.945239,person,0.91
2025-03-07,17:56:16.945239,person,0.33
2025-03-07,17:56:16.945239,chair,0.82
2025-03-07,17:56:16.945239,chair,0.68
2025-03-07,17:56:17.196127,chair,0.21
2025-03-07,17:56:17.196127,chair,0.23
2025-03-07,17:56:17.196127,chair,0.26
2025-03-07,17:56:17.196127,chair,0.27
2025-03-07,17:56:17.196127,chair,0.26
2025-03-07,17:56:17.196127,chair,0.28
2025-03-07,17:56:17.196127,chair,0.27
2025-03-07,17:56:17.196127,chair,0.23
2025-03-07,17:56:17.196127,chair,0.52
2025-03-07,17:56:17.196127,chair,0.57
2025-03-07,17:56:17.196127,chair,0.21
2025-03-07,17:56:17.196127,chair,0.24
2025-03-07,17:56:17.196127,chair,0.26
2025-03-07,17:56:17.196127,chair,0.51
2025-03-07,17:56:17.196127,chair,0.61
2025-03-07,17:56:17.196127,chair,0.67
2025-03-07,17:56:17.196127,chair,0.23
2025-03-07,17:56:17.196127,chair,0.48
2025-03-07,17:56:17.196127,bottle,0.28
2025-03-07,17:56:17.196127,bottle,0.23
2025-03-07,17:56:17.196127,bottle,0.54
2025-03-07,17:56:17.196127,bottle,0.47
2025-03-07,17:56:17.196127,bottle,0.40
2025-03-07,17:56:17.196127,bottle,0.30
2025-03-07,17:56:17.196127,chair,0.34
2025-03-07,17:56:17.196127,cup,0.23
2025-03-07,17:56:17.196127,cup,0.25
2025-03-07,17:56:17.196127,cup,0.23
2025-03-07,17:56:17.196127,remote,0.77
2025-03-07,17:56:17.196127,remote,0.75
2025-03-07,17:56:17.196127,remote,0.78
2025-03-07,17:56:17.196127,mouse,0.45
2025-03-07,17:56:17.196127,mouse,0.46
2025-03-07,17:56:17.196127,mouse,0.38
2025-03-07,17:56:17.196127,chair,0.32
2025-03-07,17:56:17.196127,chair,0.55
2025-03-07,17:56:17.196127,chair,0.55
2025-03-07,17:56:17.196127,chair,0.48
2025-03-07,17:56:17.196127,chair,0.40
2025-03-07,17:56:17.196127,chair,0.40
2025-03-07,17:56:17.196127,chair,0.26
2025-03-07,17:56:17.196127,chair,0.95
2025-03-07,17:56:17.196127,chair,0.94
2025-03-07,17:56:17.196127,chair,0.91
2025-03-07,17:56:17.196127,person,0.88
2025-03-07,17:56:17.196127,person,0.88
2025-03-07,17:56:17.196127,chair,0.82
2025-03-07,17:56:17.196127,chair,0.82
2025-03-07,17:56:17.196127,chair,0.78
2025-03-07,17:56:17.196127,person,0.41
2025-03-07,17:56:17.196127,person,0.30
2025-03-07,17:56:17.196127,bottle,0.75
2025-03-07,17:56:17.196127,bottle,0.27
2025-03-07,17:56:17.196127,bottle,0.43
2025-03-07,17:56:17.196127,chair,0.63
2025-03-07,17:56:17.196127,chair,0.64
2025-03-07,17:56:17.196127,chair,0.63
2025-03-07,17:56:17.196127,remote,0.36
2025-03-07,17:56:17.196127,person,0.88
2025-03-07,17:56:17.196127,person,0.89
2025-03-07,17:56:17.196127,person,0.69
2025-03-07,17:56:17.196127,person,0.90
2025-03-07,17:56:17.196127,person,0.90
2025-03-07,17:56:17.196127,person,0.33
2025-03-07,17:56:17.196127,chair,0.81
2025-03-07,17:56:17.196127,chair,0.63
2025-03-07,17:56:17.434602,chair,0.25
2025-03-07,17:56:17.434602,chair,0.28
2025-03-07,17:56:17.434602,chair,0.26
2025-03-07,17:56:17.434602,chair,0.22
2025-03-07,17:56:17.434602,chair,0.31
2025-03-07,17:56:17.434602,chair,0.33
2025-03-07,17:56:17.434602,chair,0.26
2025-03-07,17:56:17.434602,chair,0.27
2025-03-07,17:56:17.434602,chair,0.26
2025-03-07,17:56:17.434602,chair,0.31
2025-03-07,17:56:17.434602,chair,0.29
2025-03-07,17:56:17.434602,chair,0.25
2025-03-07,17:56:17.434602,chair,0.24
2025-03-07,17:56:17.434602,chair,0.29
2025-03-07,17:56:17.434602,chair,0.24
2025-03-07,17:56:17.434602,chair,0.21
2025-03-07,17:56:17.434602,chair,0.27
2025-03-07,17:56:17.434602,chair,0.23
2025-03-07,17:56:17.434602,chair,0.25
2025-03-07,17:56:17.434602,chair,0.40
2025-03-07,17:56:17.434602,chair,0.68
2025-03-07,17:56:17.434602,chair,0.72
2025-03-07,17:56:17.434602,chair,0.39
2025-03-07,17:56:17.434602,bottle,0.28
2025-03-07,17:56:17.434602,bottle,0.22
2025-03-07,17:56:17.434602,bottle,0.58
2025-03-07,17:56:17.434602,bottle,0.53
2025-03-07,17:56:17.434602,bottle,0.32
2025-03-07,17:56:17.434602,bottle,0.25
2025-03-07,17:56:17.434602,chair,0.38
2025-03-07,17:56:17.434602,bottle,0.22
2025-03-07,17:56:17.434602,bottle,0.23
2025-03-07,17:56:17.434602,bottle,0.22
2025-03-07,17:56:17.434602,cup,0.22
2025-03-07,17:56:17.434602,remote,0.75
2025-03-07,17:56:17.434602,remote,0.74
2025-03-07,17:56:17.434602,remote,0.76
2025-03-07,17:56:17.434602,mouse,0.51
2025-03-07,17:56:17.434602,mouse,0.53
2025-03-07,17:56:17.434602,mouse,0.45
2025-03-07,17:56:17.434602,chair,0.34
2025-03-07,17:56:17.434602,chair,0.27
2025-03-07,17:56:17.434602,chair,0.27
2025-03-07,17:56:17.434602,chair,0.23
2025-03-07,17:56:17.434602,chair,0.22
2025-03-07,17:56:17.434602,chair,0.21
2025-03-07,17:56:17.434602,chair,0.37
2025-03-07,17:56:17.434602,chair,0.37
2025-03-07,17:56:17.434602,chair,0.21
2025-03-07,17:56:17.434602,chair,0.94
2025-03-07,17:56:17.434602,chair,0.92
2025-03-07,17:56:17.434602,chair,0.88
2025-03-07,17:56:17.434602,person,0.90
2025-03-07,17:56:17.434602,person,0.88
2025-03-07,17:56:17.434602,chair,0.79
2025-03-07,17:56:17.434602,chair,0.79
2025-03-07,17:56:17.434602,chair,0.75
2025-03-07,17:56:17.434602,person,0.48
2025-03-07,17:56:17.434602,person,0.27
2025-03-07,17:56:17.434602,bottle,0.78
2025-03-07,17:56:17.434602,bottle,0.38
2025-03-07,17:56:17.434602,bottle,0.31
2025-03-07,17:56:17.434602,chair,0.53
2025-03-07,17:56:17.434602,chair,0.55
2025-03-07,17:56:17.434602,chair,0.54
2025-03-07,17:56:17.434602,remote,0.31
2025-03-07,17:56:17.434602,person,0.90
2025-03-07,17:56:17.434602,person,0.91
2025-03-07,17:56:17.434602,person,0.67
2025-03-07,17:56:17.434602,person,0.89
2025-03-07,17:56:17.434602,person,0.90
2025-03-07,17:56:17.434602,person,0.24
2025-03-07,17:56:17.434602,chair,0.80
2025-03-07,17:56:17.434602,chair,0.57
2025-03-07,17:56:17.673090,chair,0.29
2025-03-07,17:56:17.673090,chair,0.34
2025-03-07,17:56:17.673090,chair,0.32
2025-03-07,17:56:17.673090,chair,0.23
2025-03-07,17:56:17.673090,chair,0.32
2025-03-07,17:56:17.673090,chair,0.35
2025-03-07,17:56:17.673090,chair,0.29
2025-03-07,17:56:17.673090,chair,0.31
2025-03-07,17:56:17.673090,chair,0.30
2025-03-07,17:56:17.673090,chair,0.32
2025-03-07,17:56:17.673090,chair,0.31
2025-03-07,17:56:17.673090,chair,0.26
2025-03-07,17:56:17.673090,chair,0.24
2025-03-07,17:56:17.673090,chair,0.29
2025-03-07,17:56:17.673090,chair,0.22
2025-03-07,17:56:17.673090,chair,0.23
2025-03-07,17:56:17.673090,chair,0.23
2025-03-07,17:56:17.673090,chair,0.24
2025-03-07,17:56:17.673090,chair,0.28
2025-03-07,17:56:17.673090,chair,0.60
2025-03-07,17:56:17.673090,chair,0.64
2025-03-07,17:56:17.673090,chair,0.21
2025-03-07,17:56:17.673090,chair,0.37
2025-03-07,17:56:17.673090,chair,0.38
2025-03-07,17:56:17.673090,chair,0.31
2025-03-07,17:56:17.673090,chair,0.66
2025-03-07,17:56:17.673090,chair,0.70
2025-03-07,17:56:17.673090,chair,0.79
2025-03-07,17:56:17.673090,chair,0.39
2025-03-07,17:56:17.673090,bottle,0.28
2025-03-07,17:56:17.673090,bottle,0.22
2025-03-07,17:56:17.673090,bottle,0.49
2025-03-07,17:56:17.673090,bottle,0.43
2025-03-07,17:56:17.673090,bottle,0.35
2025-03-07,17:56:17.673090,bottle,0.24
2025-03-07,17:56:17.673090,chair,0.36
2025-03-07,17:56:17.673090,bottle,0.33
2025-03-07,17:56:17.673090,bottle,0.33
2025-03-07,17:56:17.673090,bottle,0.33
2025-03-07,17:56:17.673090,remote,0.77
2025-03-07,17:56:17.673090,remote,0.76
2025-03-07,17:56:17.673090,remote,0.79
2025-03-07,17:56:17.673090,mouse,0.63
2025-03-07,17:56:17.673090,mouse,0.64
2025-03-07,17:56:17.673090,mouse,0.59
2025-03-07,17:56:17.673090,chair,0.21
2025-03-07,17:56:17.673090,chair,0.38
2025-03-07,17:56:17.673090,chair,0.24
2025-03-07,17:56:17.673090,chair,0.66
2025-03-07,17:56:17.673090,chair,0.66
2025-03-07,17:56:17.673090,chair,0.59
2025-03-07,17:56:17.673090,chair,0.56
2025-03-07,17:56:17.673090,chair,0.56
2025-03-07,17:56:17.673090,chair,0.35
2025-03-07,17:56:17.673090,chair,0.96
2025-03-07,17:56:17.673090,chair,0.95
2025-03-07,17:56:17.673090,chair,0.92
2025-03-07,17:56:17.673090,person,0.89
2025-03-07,17:56:17.673090,person,0.89
2025-03-07,17:56:17.673090,chair,0.68
2025-03-07,17:56:17.673090,chair,0.67
2025-03-07,17:56:17.673090,chair,0.63
2025-03-07,17:56:17.673090,person,0.48
2025-03-07,17:56:17.673090,person,0.30
2025-03-07,17:56:17.673090,bottle,0.74
2025-03-07,17:56:17.673090,bottle,0.29
2025-03-07,17:56:17.673090,bottle,0.38
2025-03-07,17:56:17.673090,chair,0.63
2025-03-07,17:56:17.673090,chair,0.65
2025-03-07,17:56:17.673090,chair,0.64
2025-03-07,17:56:17.673090,remote,0.36
2025-03-07,17:56:17.673090,person,0.89
2025-03-07,17:56:17.673090,person,0.90
2025-03-07,17:56:17.673090,person,0.66
2025-03-07,17:56:17.673090,person,0.91
2025-03-07,17:56:17.673090,person,0.91
2025-03-07,17:56:17.673090,person,0.27
2025-03-07,17:56:17.673090,chair,0.81
2025-03-07,17:56:17.673090,chair,0.64
2025-03-07,17:56:17.899644,chair,0.21
2025-03-07,17:56:17.899644,chair,0.23
2025-03-07,17:56:17.899644,chair,0.28
2025-03-07,17:56:17.899644,chair,0.28
2025-03-07,17:56:17.899644,chair,0.27
2025-03-07,17:56:17.899644,chair,0.40
2025-03-07,17:56:17.899644,chair,0.39
2025-03-07,17:56:17.899644,chair,0.34
2025-03-07,17:56:17.899644,chair,0.22
2025-03-07,17:56:17.899644,chair,0.40
2025-03-07,17:56:17.899644,chair,0.47
2025-03-07,17:56:17.899644,chair,0.38
2025-03-07,17:56:17.899644,chair,0.40
2025-03-07,17:56:17.899644,chair,0.54
2025-03-07,17:56:17.899644,chair,0.61
2025-03-07,17:56:17.899644,chair,0.70
2025-03-07,17:56:17.899644,chair,0.42
2025-03-07,17:56:17.899644,chair,0.60
2025-03-07,17:56:17.899644,bottle,0.21
2025-03-07,17:56:17.899644,bottle,0.54
2025-03-07,17:56:17.899644,bottle,0.46
2025-03-07,17:56:17.899644,bottle,0.41
2025-03-07,17:56:17.899644,bottle,0.28
2025-03-07,17:56:17.899644,chair,0.31
2025-03-07,17:56:17.899644,remote,0.78
2025-03-07,17:56:17.899644,remote,0.77
2025-03-07,17:56:17.899644,remote,0.79
2025-03-07,17:56:17.899644,mouse,0.53
2025-03-07,17:56:17.899644,mouse,0.54
2025-03-07,17:56:17.899644,mouse,0.47
2025-03-07,17:56:17.899644,chair,0.27
2025-03-07,17:56:17.899644,chair,0.48
2025-03-07,17:56:17.899644,chair,0.47
2025-03-07,17:56:17.899644,chair,0.40
2025-03-07,17:56:17.899644,chair,0.49
2025-03-07,17:56:17.899644,chair,0.49
2025-03-07,17:56:17.899644,chair,0.33
2025-03-07,17:56:17.899644,chair,0.94
2025-03-07,17:56:17.899644,chair,0.93
2025-03-07,17:56:17.899644,chair,0.89
2025-03-07,17:56:17.899644,person,0.89
2025-03-07,17:56:17.899644,person,0.88
2025-03-07,17:56:17.899644,chair,0.88
2025-03-07,17:56:17.899644,chair,0.88
2025-03-07,17:56:17.899644,chair,0.84
2025-03-07,17:56:17.899644,person,0.40
2025-03-07,17:56:17.899644,person,0.27
2025-03-07,17:56:17.899644,bottle,0.74
2025-03-07,17:56:17.899644,bottle,0.32
2025-03-07,17:56:17.899644,bottle,0.47
2025-03-07,17:56:17.899644,chair,0.55
2025-03-07,17:56:17.899644,chair,0.57
2025-03-07,17:56:17.899644,chair,0.56
2025-03-07,17:56:17.899644,remote,0.37
2025-03-07,17:56:17.899644,person,0.89
2025-03-07,17:56:17.899644,person,0.89
2025-03-07,17:56:17.899644,person,0.64
2025-03-07,17:56:17.899644,person,0.90
2025-03-07,17:56:17.899644,person,0.90
2025-03-07,17:56:17.899644,person,0.21
2025-03-07,17:56:17.899644,chair,0.82
2025-03-07,17:56:17.899644,chair,0.53
2025-03-07,17:56:18.121609,chair,0.23
2025-03-07,17:56:18.121609,chair,0.25
2025-03-07,17:56:18.121609,chair,0.34
2025-03-07,17:56:18.121609,chair,0.34
2025-03-07,17:56:18.121609,chair,0.34
2025-03-07,17:56:18.121609,chair,0.29
2025-03-07,17:56:18.121609,chair,0.28
2025-03-07,17:56:18.121609,chair,0.24
2025-03-07,17:56:18.121609,chair,0.20
2025-03-07,17:56:18.121609,chair,0.21
2025-03-07,17:56:18.121609,chair,0.25
2025-03-07,17:56:18.121609,chair,0.53
2025-03-07,17:56:18.121609,chair,0.60
2025-03-07,17:56:18.121609,chair,0.25
2025-03-07,17:56:18.121609,chair,0.29
2025-03-07,17:56:18.121609,chair,0.32
2025-03-07,17:56:18.121609,chair,0.35
2025-03-07,17:56:18.121609,chair,0.25
2025-03-07,17:56:18.121609,chair,0.60
2025-03-07,17:56:18.121609,chair,0.68
2025-03-07,17:56:18.121609,chair,0.74
2025-03-07,17:56:18.121609,chair,0.39
2025-03-07,17:56:18.121609,chair,0.58
2025-03-07,17:56:18.121609,bottle,0.25
2025-03-07,17:56:18.121609,bottle,0.51
2025-03-07,17:56:18.121609,bottle,0.44
2025-03-07,17:56:18.121609,bottle,0.41
2025-03-07,17:56:18.121609,bottle,0.28
2025-03-07,17:56:18.121609,chair,0.31
2025-03-07,17:56:18.121609,bottle,0.22
2025-03-07,17:56:18.121609,bottle,0.23
2025-03-07,17:56:18.121609,bottle,0.22
2025-03-07,17:56:18.121609,remote,0.69
2025-03-07,17:56:18.121609,remote,0.68
2025-03-07,17:56:18.121609,remote,0.71
2025-03-07,17:56:18.121609,mouse,0.35
2025-03-07,17:56:18.121609,mouse,0.36
2025-03-07,17:56:18.121609,mouse,0.30
2025-03-07,17:56:18.121609,chair,0.27
2025-03-07,17:56:18.121609,chair,0.61
2025-03-07,17:56:18.121609,chair,0.61
2025-03-07,17:56:18.121609,chair,0.55
2025-03-07,17:56:18.121609,chair,0.23
2025-03-07,17:56:18.121609,chair,0.22
2025-03-07,17:56:18.121609,chair,0.53
2025-03-07,17:56:18.121609,chair,0.52
2025-03-07,17:56:18.121609,chair,0.34
2025-03-07,17:56:18.121609,chair,0.95
2025-03-07,17:56:18.121609,chair,0.94
2025-03-07,17:56:18.121609,chair,0.91
2025-03-07,17:56:18.121609,person,0.86
2025-03-07,17:56:18.121609,person,0.88
2025-03-07,17:56:18.121609,chair,0.87
2025-03-07,17:56:18.121609,chair,0.87
2025-03-07,17:56:18.121609,chair,0.85
2025-03-07,17:56:18.121609,person,0.38
2025-03-07,17:56:18.121609,person,0.25
2025-03-07,17:56:18.121609,bottle,0.76
2025-03-07,17:56:18.121609,bottle,0.25
2025-03-07,17:56:18.121609,bottle,0.42
2025-03-07,17:56:18.121609,chair,0.61
2025-03-07,17:56:18.121609,chair,0.63
2025-03-07,17:56:18.121609,chair,0.61
2025-03-07,17:56:18.121609,remote,0.32
2025-03-07,17:56:18.121609,person,0.89
2025-03-07,17:56:18.121609,person,0.89
2025-03-07,17:56:18.121609,person,0.69
2025-03-07,17:56:18.121609,person,0.90
2025-03-07,17:56:18.121609,person,0.91
2025-03-07,17:56:18.121609,person,0.32
2025-03-07,17:56:18.121609,chair,0.87
2025-03-07,17:56:18.121609,chair,0.60
2025-03-07,17:56:18.342719,chair,0.23
2025-03-07,17:56:18.342719,chair,0.26
2025-03-07,17:56:18.342719,chair,0.26
2025-03-07,17:56:18.342719,chair,0.27
2025-03-07,17:56:18.342719,chair,0.26
2025-03-07,17:56:18.342719,chair,0.33
2025-03-07,17:56:18.342719,chair,0.32
2025-03-07,17:56:18.342719,chair,0.27
2025-03-07,17:56:18.342719,chair,0.23
2025-03-07,17:56:18.342719,chair,0.29
2025-03-07,17:56:18.342719,chair,0.24
2025-03-07,17:56:18.342719,chair,0.22
2025-03-07,17:56:18.342719,chair,0.26
2025-03-07,17:56:18.342719,chair,0.64
2025-03-07,17:56:18.342719,chair,0.69
2025-03-07,17:56:18.342719,chair,0.31
2025-03-07,17:56:18.342719,chair,0.33
2025-03-07,17:56:18.342719,chair,0.41
2025-03-07,17:56:18.342719,chair,0.71
2025-03-07,17:56:18.342719,chair,0.63
2025-03-07,17:56:18.342719,chair,0.72
2025-03-07,17:56:18.342719,chair,0.42
2025-03-07,17:56:18.342719,chair,0.57
2025-03-07,17:56:18.342719,bottle,0.31
2025-03-07,17:56:18.342719,bottle,0.25
2025-03-07,17:56:18.342719,bottle,0.55
2025-03-07,17:56:18.342719,bottle,0.47
2025-03-07,17:56:18.342719,bottle,0.41
2025-03-07,17:56:18.342719,bottle,0.27
2025-03-07,17:56:18.342719,chair,0.43
2025-03-07,17:56:18.342719,bottle,0.24
2025-03-07,17:56:18.342719,bottle,0.25
2025-03-07,17:56:18.342719,bottle,0.25
2025-03-07,17:56:18.342719,cup,0.29
2025-03-07,17:56:18.342719,cup,0.34
2025-03-07,17:56:18.342719,cup,0.32
2025-03-07,17:56:18.342719,remote,0.61
2025-03-07,17:56:18.342719,remote,0.58
2025-03-07,17:56:18.342719,remote,0.61
2025-03-07,17:56:18.342719,mouse,0.34
2025-03-07,17:56:18.342719,mouse,0.37
2025-03-07,17:56:18.342719,mouse,0.32
2025-03-07,17:56:18.342719,chair,0.33
2025-03-07,17:56:18.342719,chair,0.70
2025-03-07,17:56:18.342719,chair,0.70
2025-03-07,17:56:18.342719,chair,0.63
2025-03-07,17:56:18.342719,chair,0.41
2025-03-07,17:56:18.342719,chair,0.40
2025-03-07,17:56:18.342719,chair,0.27
2025-03-07,17:56:18.342719,chair,0.94
2025-03-07,17:56:18.342719,chair,0.93
2025-03-07,17:56:18.342719,chair,0.89
2025-03-07,17:56:18.342719,person,0.90
2025-03-07,17:56:18.342719,person,0.88
2025-03-07,17:56:18.342719,chair,0.87
2025-03-07,17:56:18.342719,chair,0.87
2025-03-07,17:56:18.342719,chair,0.84
2025-03-07,17:56:18.342719,person,0.47
2025-03-07,17:56:18.342719,person,0.30
2025-03-07,17:56:18.342719,bottle,0.78
2025-03-07,17:56:18.342719,bottle,0.28
2025-03-07,17:56:18.342719,bottle,0.40
2025-03-07,17:56:18.342719,chair,0.66
2025-03-07,17:56:18.342719,chair,0.67
2025-03-07,17:56:18.342719,chair,0.67
2025-03-07,17:56:18.342719,person,0.90
2025-03-07,17:56:18.342719,person,0.90
2025-03-07,17:56:18.342719,person,0.72
2025-03-07,17:56:18.342719,person,0.90
2025-03-07,17:56:18.342719,person,0.90
2025-03-07,17:56:18.342719,person,0.29
2025-03-07,17:56:18.342719,chair,0.85
2025-03-07,17:56:18.342719,chair,0.65
2025-03-07,17:56:18.564220,chair,0.33
2025-03-07,17:56:18.564220,chair,0.36
2025-03-07,17:56:18.564220,chair,0.34
2025-03-07,17:56:18.564220,chair,0.22
2025-03-07,17:56:18.564220,chair,0.31
2025-03-07,17:56:18.564220,chair,0.33
2025-03-07,17:56:18.564220,chair,0.41
2025-03-07,17:56:18.564220,chair,0.41
2025-03-07,17:56:18.564220,chair,0.39
2025-03-07,17:56:18.564220,chair,0.47
2025-03-07,17:56:18.564220,chair,0.45
2025-03-07,17:56:18.564220,chair,0.39
2025-03-07,17:56:18.564220,chair,0.23
2025-03-07,17:56:18.564220,chair,0.27
2025-03-07,17:56:18.564220,chair,0.23
2025-03-07,17:56:18.564220,chair,0.33
2025-03-07,17:56:18.564220,chair,0.33
2025-03-07,17:56:18.564220,chair,0.60
2025-03-07,17:56:18.564220,chair,0.66
2025-03-07,17:56:18.564220,chair,0.23
2025-03-07,17:56:18.564220,chair,0.27
2025-03-07,17:56:18.564220,chair,0.27
2025-03-07,17:56:18.564220,chair,0.32
2025-03-07,17:56:18.564220,chair,0.40
2025-03-07,17:56:18.564220,chair,0.72
2025-03-07,17:56:18.564220,chair,0.77
2025-03-07,17:56:18.564220,chair,0.50
2025-03-07,17:56:18.564220,bottle,0.30
2025-03-07,17:56:18.564220,bottle,0.25
2025-03-07,17:56:18.564220,bottle,0.50
2025-03-07,17:56:18.564220,bottle,0.45
2025-03-07,17:56:18.564220,bottle,0.40
2025-03-07,17:56:18.564220,bottle,0.28
2025-03-07,17:56:18.564220,chair,0.44
2025-03-07,17:56:18.564220,remote,0.77
2025-03-07,17:56:18.564220,remote,0.76
2025-03-07,17:56:18.564220,remote,0.79
2025-03-07,17:56:18.564220,mouse,0.64
2025-03-07,17:56:18.564220,mouse,0.66
2025-03-07,17:56:18.564220,mouse,0.60
2025-03-07,17:56:18.564220,chair,0.20
2025-03-07,17:56:18.564220,chair,0.42
2025-03-07,17:56:18.564220,chair,0.27
2025-03-07,17:56:18.564220,chair,0.67
2025-03-07,17:56:18.564220,chair,0.67
2025-03-07,17:56:18.564220,chair,0.60
2025-03-07,17:56:18.564220,chair,0.25
2025-03-07,17:56:18.564220,chair,0.24
2025-03-07,17:56:18.564220,chair,0.53
2025-03-07,17:56:18.564220,chair,0.52
2025-03-07,17:56:18.564220,chair,0.39
2025-03-07,17:56:18.564220,chair,0.96
2025-03-07,17:56:18.564220,chair,0.95
2025-03-07,17:56:18.564220,chair,0.93
2025-03-07,17:56:18.564220,person,0.91
2025-03-07,17:56:18.564220,person,0.86
2025-03-07,17:56:18.564220,chair,0.74
2025-03-07,17:56:18.564220,chair,0.73
2025-03-07,17:56:18.564220,chair,0.70
2025-03-07,17:56:18.564220,person,0.52
2025-03-07,17:56:18.564220,person,0.27
2025-03-07,17:56:18.564220,bottle,0.73
2025-03-07,17:56:18.564220,bottle,0.28
2025-03-07,17:56:18.564220,bottle,0.41
2025-03-07,17:56:18.564220,chair,0.64
2025-03-07,17:56:18.564220,chair,0.65
2025-03-07,17:56:18.564220,chair,0.64
2025-03-07,17:56:18.564220,remote,0.39
2025-03-07,17:56:18.564220,person,0.91
2025-03-07,17:56:18.564220,person,0.91
2025-03-07,17:56:18.564220,person,0.71
2025-03-07,17:56:18.564220,person,0.89
2025-03-07,17:56:18.564220,person,0.90
2025-03-07,17:56:18.564220,person,0.27
2025-03-07,17:56:18.564220,diningtable,0.21
2025-03-07,17:56:18.564220,chair,0.77
2025-03-07,17:56:18.564220,chair,0.63
2025-03-07,17:56:18.787398,chair,0.24
2025-03-07,17:56:18.787398,chair,0.26
2025-03-07,17:56:18.787398,chair,0.23
2025-03-07,17:56:18.787398,chair,0.26
2025-03-07,17:56:18.787398,chair,0.34
2025-03-07,17:56:18.787398,chair,0.37
2025-03-07,17:56:18.787398,chair,0.40
2025-03-07,17:56:18.787398,chair,0.40
2025-03-07,17:56:18.787398,chair,0.36
2025-03-07,17:56:18.787398,chair,0.30
2025-03-07,17:56:18.787398,chair,0.29
2025-03-07,17:56:18.787398,chair,0.24
2025-03-07,17:56:18.787398,chair,0.22
2025-03-07,17:56:18.787398,chair,0.27
2025-03-07,17:56:18.787398,chair,0.22
2025-03-07,17:56:18.787398,chair,0.29
2025-03-07,17:56:18.787398,chair,0.38
2025-03-07,17:56:18.787398,chair,0.25
2025-03-07,17:56:18.787398,chair,0.29
2025-03-07,17:56:18.787398,chair,0.38
2025-03-07,17:56:18.787398,chair,0.40
2025-03-07,17:56:18.787398,chair,0.22
2025-03-07,17:56:18.787398,chair,0.49
2025-03-07,17:56:18.787398,chair,0.62
2025-03-07,17:56:18.787398,chair,0.67
2025-03-07,17:56:18.787398,chair,0.31
2025-03-07,17:56:18.787398,chair,0.51
2025-03-07,17:56:18.787398,bottle,0.22
2025-03-07,17:56:18.787398,bottle,0.51
2025-03-07,17:56:18.787398,bottle,0.45
2025-03-07,17:56:18.787398,bottle,0.36
2025-03-07,17:56:18.787398,bottle,0.26
